transaction_code,customer_id,order_date
TXN-1001,1,2024-01-15
TXN-1002,1,2024-01-15
TXN-1003,1,2024-01-15
TXN-1004,2,2024-01-15
TXN-1005,3,2024-01-16
TXN-1006,3,2024-01-16
TXN-1007,4,2024-01-16
TXN-1008,4,2024-01-16
TXN-1009,5,2024-01-17
TXN-1010,5,2024-01-17
TXN-1011,6,2024-01-18
TXN-1012,6,2024-01-18
TXN-1013,6,2024-01-18
TXN-1014,7,2024-01-19
TXN-1015,7,2024-01-19
TXN-1016,8,2024-01-20
TXN-1017,1,2024-01-21
TXN-1018,9,2024-01-22
TXN-1019,9,2024-01-22
TXN-1020,10,2024-01-23
TXN-1021,3,2024-01-23
TXN-1022,4,2024-01-24
TXN-1023,4,2024-01-24
TXN-1024,2,2024-01-25
TXN-1025,2,2024-01-25
TXN-1026,2,2024-01-25
TXN-1027,5,2024-01-26
TXN-1028,11,2024-01-27
TXN-1029,1,2024-01-28
TXN-1030,12,2024-01-29
TXN-1031,6,2024-01-30
TXN-1032,3,2024-01-31
TXN-1033,3,2024-01-31
TXN-1034,12,2024-02-01
TXN-1035,7,2024-02-02
TXN-1036,8,2024-02-03
TXN-1037,9,2024-02-04
TXN-1038,10,2024-02-05
TXN-1039,10,2024-02-05
TXN-1040,1,2024-02-06
TXN-1041,2,2024-02-07
TXN-1042,5,2024-02-08
TXN-1043,6,2024-02-09
TXN-1044,4,2024-02-10
TXN-1045,3,2024-02-11
TXN-1046,3,2024-02-11
TXN-1047,7,2024-02-12
TXN-1048,8,2024-02-13
TXN-1049,8,2024-02-13
TXN-1050,9,2024-02-14
TXN-1051,10,2024-02-15
TXN-1052,1,2024-02-16
TXN-1053,2,2024-02-17
TXN-1054,5,2024-02-18
TXN-1055,6,2024-02-19
TXN-1056,6,2024-02-19
TXN-1057,4,2024-02-20
TXN-1058,3,2024-02-21
TXN-1059,7,2024-02-22
TXN-1060,8,2024-02-23
TXN-1061,8,2024-02-23
TXN-1062,9,2024-02-24
TXN-1063,10,2024-02-25
TXN-1064,1,2024-02-26
TXN-1065,2,2024-02-27
TXN-1066,5,2024-02-28
TXN-1067,6,2024-03-01
TXN-1068,4,2024-03-02
TXN-1069,3,2024-03-03
TXN-1070,7,2024-03-04
TXN-1071,8,2024-03-05
TXN-1072,9,2024-03-06
TXN-1073,10,2024-03-07
TXN-1074,1,2024-03-08
TXN-1075,2,2024-03-09
TXN-1076,2,2024-03-09
TXN-1077,5,2024-03-10
TXN-1078,6,2024-03-11
TXN-1079,4,2024-03-12
TXN-1080,3,2024-03-13
TXN-1081,7,2024-03-14
TXN-1082,8,2024-03-15
TXN-1083,9,2024-03-16
TXN-1064,9,2024-03-16
TXN-1065,10,2024-03-17
TXN-1066,1,2024-03-18
TXN-1067,2,2024-03-19
TXN-1068,5,2024-03-20
TXN-1069,6,2024-03-21
TXN-1070,4,2024-03-22
TXN-1071,3,2024-03-23
TXN-1072,7,2024-03-24
TXN-1073,8,2024-03-25
TXN-1074,9,2024-03-26
TXN-1075,10,2024-03-27
TXN-1076,1,2024-03-28
TXN-1077,2,2024-03-29
TXN-1078,5,2024-03-30
TXN-1079,6,2024-03-31
TXN-1080,4,2024-04-01
TXN-1081,3,2024-04-02
TXN-1082,7,2024-04-03
TXN-1083,8,2024-04-04
